,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,Travel company,Name,VIP,RoomService,FoodCourt,Travel Outcome
14,0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,Tulsa Inc,Elle Bertsontry,False,8.0,974.0,Reached wrong destination
15,0012_01,Earth,False,,TRAPPIST-1e,31.0,Tulsa Inc,Justie Pooles,False,32.0,0.0,Failed to reach
16,0014_01,Mars,False,F/3/P,55 Cancri e,27.0,Blue Horizon,Flats Eccle,False,1286.0,122.0,Reached wrong destination
17,0015_01,Earth,False,F/4/P,55 Cancri e,24.0,Tulsa Inc,Carry Hughriend,False,0.0,1.0,Succesfully reached Destination
18,0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,Tulsa Inc,Alus Upead,False,0.0,0.0,Succesfully reached Destination
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,Blue Horizon,Lyde Brighttt,False,0.0,0.0,Succesfully reached Destination
20,0017_02,Earth,False,F/6/P,55 Cancri e,14.0,Tulsa Inc,Philda Brighttt,False,412.0,0.0,Succesfully reached Destination
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,Tulsa Inc,Almary Brantuarez,False,0.0,0.0,Succesfully reached Destination
22,0020_02,Earth,True,E/0/S,55 Cancri e,49.0,Blue Horizon,Glendy Brantuarez,False,0.0,0.0,Succesfully reached Destination
23,0020_03,Earth,True,E/0/S,55 Cancri e,29.0,Blue Horizon,Mollen Mcfaddennon,False,0.0,0.0,Reached wrong destination
24,0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,Tulsa Inc,Breney Jacostanley,False,0.0,0.0,Failed to reach
25,0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,Blue Horizon,Mael Brantuarez,False,,0.0,Succesfully reached Destination
26,0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,Tulsa Inc,Terta Mcfaddennon,False,0.0,0.0,Reached wrong destination
27,0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,Blue Horizon,,False,980.0,2.0,Succesfully reached Destination
28,0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,Tulsa Inc,Penton Fullided,False,0.0,0.0,Succesfully reached Destination
29,0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,Tulsa Inc,Karard Brookenson,False,0.0,225.0,Reached wrong destination
30,0026_01,Europa,False,C/0/P,55 Cancri e,34.0,Tulsa Inc,Anyoni Unconary,False,22.0,6073.0,Failed to reach
31,0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,Blue Horizon,Ceros Mare,False,1125.0,0.0,Failed to reach
32,0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,Blue Horizon,Ginia Morsentley,False,0.0,850.0,Reached wrong destination
33,0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,Tulsa Inc,Coobix Datie,False,214.0,0.0,Succesfully reached Destination
34,0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,Blue Horizon,Cinets Datie,False,0.0,0.0,Reached wrong destination
35,0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,Blue Horizon,Dontch Datie,False,,0.0,Reached wrong destination
36,0034_01,Europa,True,D/1/S,55 Cancri e,28.0,Blue Horizon,Ziba Oingwhedly,False,0.0,0.0,Failed to reach
37,0035_01,Mars,False,D/1/P,55 Cancri e,23.0,Blue Horizon,Luse Butte,False,784.0,964.0,Reached wrong destination
38,0036_01,Earth,False,F/8/S,55 Cancri e,15.0,Blue Horizon,Marina Leodger,,0.0,492.0,Reached wrong destination
39,0038_01,Earth,False,F/10/S,55 Cancri e,20.0,Blue Horizon,Loise Wheelez,False,554.0,195.0,Failed to reach
40,0039_01,Earth,True,G/1/P,55 Cancri e,30.0,Blue Horizon,Jorgie Batthewitt,False,0.0,0.0,Reached wrong destination
41,0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,Tulsa Inc,Margia Moodsey,False,0.0,0.0,Succesfully reached Destination
42,0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,Tulsa Inc,Ankalik Cylistrand,False,0.0,164.0,Failed to reach
43,0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,Blue Horizon,Jodye Coopelandez,False,0.0,0.0,Succesfully reached Destination
44,0044_02,Earth,True,G/3/P,55 Cancri e,4.0,Tulsa Inc,Kayne Coopelandez,False,0.0,0.0,Succesfully reached Destination
45,0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,Tulsa Inc,Cassa Coopelandez,False,0.0,0.0,Failed to reach
46,0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,Blue Horizon,Zelowl Chmad,False,970.0,0.0,Succesfully reached Destination
47,0045_02,Mars,True,F/10/P,,19.0,Blue Horizon,Mass Chmad,False,0.0,0.0,Failed to reach
48,0050_01,Earth,False,E/1/S,55 Cancri e,35.0,Tulsa Inc,Sony Lancis,False,790.0,0.0,Reached wrong destination
49,0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,Tulsa Inc,Vivia Johnshines,False,0.0,112.0,Failed to reach
50,0052_01,Earth,False,G/6/S,TRAPPIST-1e,,Tulsa Inc,Elaney Hubbarton,False,4.0,0.0,Reached wrong destination
51,0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,Blue Horizon,Elson Hickerson,False,0.0,0.0,Succesfully reached Destination
52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,Tulsa Inc,Okulas Tractive,False,0.0,0.0,Reached wrong destination
53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,Tulsa Inc,Instab Tractive,False,0.0,0.0,Reached wrong destination
54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,Tulsa Inc,Zinoces Tractive,False,279.0,605.0,Succesfully reached Destination
55,0058_01,Earth,True,G/7/S,PSO J318.5-22,36.0,Blue Horizon,Warry Ayalazquez,False,0.0,0.0,Succesfully reached Destination
56,0061_01,Earth,False,F/12/S,TRAPPIST-1e,22.0,Blue Horizon,Shanya Salez,False,45.0,1096.0,Failed to reach
57,0062_01,Earth,False,F/13/S,TRAPPIST-1e,62.0,Blue Horizon,Sterry Greeves,False,0.0,592.0,Failed to reach
58,0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,Blue Horizon,,False,0.0,0.0,Reached wrong destination
59,0064_02,,True,E/3/S,TRAPPIST-1e,33.0,Blue Horizon,Colatz Keen,False,0.0,0.0,Succesfully reached Destination
60,0066_01,Earth,False,G/6/P,TRAPPIST-1e,62.0,Tulsa Inc,Diandy Pecketton,False,1.0,153.0,Reached wrong destination
61,0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,Tulsa Inc,Ninaha Leeves,False,0.0,0.0,Succesfully reached Destination
62,0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,Tulsa Inc,Celine Leeves,False,1.0,258.0,Failed to reach
63,0067_03,Earth,False,F/15/S,55 Cancri e,21.0,Blue Horizon,Velyne Leeves,False,1946.0,37.0,Failed to reach
64,0068_01,Mars,False,E/4/S,TRAPPIST-1e,,Tulsa Inc,Cinst Binie,False,793.0,0.0,Succesfully reached Destination
65,0069_01,Earth,False,F/16/S,TRAPPIST-1e,42.0,Blue Horizon,,False,887.0,0.0,Reached wrong destination
66,0070_01,Earth,False,F/13/P,TRAPPIST-1e,19.0,Tulsa Inc,Meremy Brighttt,False,190.0,0.0,Reached wrong destination
67,0071_01,Earth,False,F/14/P,TRAPPIST-1e,17.0,Tulsa Inc,Nelly Dillines,False,16.0,2165.0,Succesfully reached Destination
68,0072_01,Earth,False,F/17/S,TRAPPIST-1e,14.0,Tulsa Inc,Thell Brantuarez,False,0.0,1.0,Succesfully reached Destination
69,0073_01,Mars,False,D/3/P,PSO J318.5-22,37.0,Blue Horizon,Gorn Make,False,46.0,83.0,Reached wrong destination
70,0074_01,Europa,False,C/3/S,TRAPPIST-1e,42.0,Blue Horizon,Aldibah Mostedry,False,1.0,8397.0,Failed to reach
71,0076_01,Mars,False,F/18/S,TRAPPIST-1e,27.0,Blue Horizon,Conk Dal,False,147.0,0.0,Reached wrong destination
72,0077_01,Mars,False,F/15/P,TRAPPIST-1e,28.0,Blue Horizon,Pon Blité,False,14.0,0.0,Succesfully reached Destination
73,0078_01,Europa,False,C/4/S,TRAPPIST-1e,38.0,Tulsa Inc,Spuri Pokerheed,False,0.0,5840.0,Failed to reach
74,0081_01,Earth,True,G/13/S,TRAPPIST-1e,13.0,Tulsa Inc,Dellie Vinozarks,False,0.0,0.0,Failed to reach
75,0082_01,Mars,False,F/16/P,TRAPPIST-1e,42.0,Tulsa Inc,Totse Datte,False,7406.0,0.0,Succesfully reached Destination
76,0082_02,Mars,True,F/16/P,TRAPPIST-1e,2.0,Blue Horizon,Eaturs Datte,False,0.0,0.0,Reached wrong destination
77,0082_03,Mars,False,F/16/P,TRAPPIST-1e,8.0,Blue Horizon,,False,0.0,0.0,Reached wrong destination
78,0084_01,Earth,False,G/14/S,TRAPPIST-1e,24.0,Tulsa Inc,Coren Coopezmaney,False,688.0,0.0,Failed to reach
79,0085_01,Europa,True,C/5/S,TRAPPIST-1e,40.0,Blue Horizon,Furudah Ellcefulve,False,0.0,0.0,Succesfully reached Destination
80,0086_01,Earth,False,F/17/P,TRAPPIST-1e,43.0,Tulsa Inc,Jodye Kinson,False,211.0,0.0,Succesfully reached Destination
81,0088_01,Mars,True,E/5/S,PSO J318.5-22,45.0,Blue Horizon,Stmeal Sacre,False,0.0,0.0,Failed to reach
82,0090_01,Earth,True,G/15/S,TRAPPIST-1e,35.0,Blue Horizon,Heremy Santry,False,0.0,0.0,Failed to reach
83,0091_01,Earth,True,G/16/S,TRAPPIST-1e,26.0,Tulsa Inc,Deanne Yorkland,False,,0.0,Succesfully reached Destination
84,0091_02,Earth,False,F/20/S,TRAPPIST-1e,27.0,Blue Horizon,Tinez Yorkland,False,1.0,697.0,Succesfully reached Destination
85,0092_01,Earth,False,G/9/P,TRAPPIST-1e,19.0,Blue Horizon,Gracy Dunnisey,False,0.0,0.0,Failed to reach
86,0092_02,Earth,True,G/9/P,TRAPPIST-1e,0.0,Blue Horizon,Stald Hewson,False,0.0,0.0,Succesfully reached Destination
87,0092_03,Earth,True,G/9/P,TRAPPIST-1e,3.0,Tulsa Inc,Tiney Hewson,False,0.0,0.0,Reached wrong destination
88,0097_01,Europa,False,A/2/S,TRAPPIST-1e,54.0,Blue Horizon,Alchium Fictful,False,0.0,1208.0,Reached wrong destination
89,0098_01,Earth,False,G/11/P,TRAPPIST-1e,26.0,Tulsa Inc,Doria Carezquez,False,0.0,856.0,Failed to reach
90,0098_02,Earth,False,G/11/P,TRAPPIST-1e,26.0,Blue Horizon,Leence Carezquez,False,0.0,2811.0,Reached wrong destination
91,0099_01,Earth,False,F/19/P,PSO J318.5-22,23.0,Blue Horizon,Aliey Leetersoney,False,311.0,427.0,Failed to reach
92,0099_02,Earth,,G/12/P,TRAPPIST-1e,2.0,Tulsa Inc,Thewis Connelson,False,0.0,0.0,Reached wrong destination
93,0101_01,Mars,True,,TRAPPIST-1e,31.0,Blue Horizon,Book Trad,False,0.0,0.0,Failed to reach
94,0102_01,Earth,False,F/23/S,TRAPPIST-1e,18.0,Blue Horizon,Ritany Holson,False,0.0,0.0,Reached wrong destination
95,0103_01,Earth,False,F/24/S,TRAPPIST-1e,24.0,Blue Horizon,Arlen Mclainez,False,0.0,,Reached wrong destination
96,0103_02,Earth,True,G/18/S,55 Cancri e,9.0,Tulsa Inc,Shaele Mclainez,False,0.0,0.0,Succesfully reached Destination
97,0103_03,Earth,True,G/18/S,TRAPPIST-1e,6.0,Tulsa Inc,Fanne Mclainez,False,0.0,0.0,Reached wrong destination
98,0105_01,Earth,,F/21/P,TRAPPIST-1e,27.0,Tulsa Inc,Carry Cleachrand,False,0.0,0.0,Failed to reach
99,0107_01,Mars,False,D/2/S,TRAPPIST-1e,21.0,Blue Horizon,Coobix Hart,False,1743.0,5.0,Failed to reach
100,0108_01,Earth,True,G/19/S,TRAPPIST-1e,23.0,Blue Horizon,Natald Handertiz,False,0.0,0.0,Reached wrong destination
101,0108_02,Earth,False,G/19/S,TRAPPIST-1e,31.0,Tulsa Inc,,False,562.0,0.0,Failed to reach
102,0108_03,Earth,False,G/19/S,TRAPPIST-1e,0.0,Tulsa Inc,Oline Handertiz,,0.0,0.0,Failed to reach
103,0110_01,Europa,False,,TRAPPIST-1e,32.0,Blue Horizon,Graviph Aloubtled,False,0.0,410.0,Succesfully reached Destination
104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,Blue Horizon,Aldeba Bootious,False,0.0,331.0,Succesfully reached Destination
105,0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,Tulsa Inc,Alaratz Aloubtled,False,2209.0,11418.0,Failed to reach
106,0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,Blue Horizon,Izark Aloubtled,False,0.0,0.0,Failed to reach
107,0111_01,Europa,True,E/6/S,TRAPPIST-1e,29.0,Tulsa Inc,Aldera Supred,False,0.0,0.0,Failed to reach
108,0112_01,Europa,False,B/1/S,55 Cancri e,48.0,Blue Horizon,Moth Cowtale,True,0.0,2537.0,Failed to reach
109,0113_01,Earth,False,F/23/P,TRAPPIST-1e,64.0,Blue Horizon,Idary Carvis,False,0.0,0.0,Succesfully reached Destination
110,0114_01,Earth,False,G/20/S,TRAPPIST-1e,27.0,Blue Horizon,Maura Beckerson,False,82.0,157.0,Reached wrong destination
111,0115_01,Mars,,F/24/P,TRAPPIST-1e,26.0,Blue Horizon,Rohs Pead,False,0.0,0.0,Reached wrong destination
112,0116_01,Europa,False,D/4/P,TRAPPIST-1e,33.0,Tulsa Inc,Alhenah Suptive,False,1.0,2223.0,Failed to reach
113,0119_01,,False,A/0/P,TRAPPIST-1e,39.0,Blue Horizon,Batan Coning,False,0.0,2344.0,Reached wrong destination
114,0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,Tulsa Inc,Kleeiak Coning,False,0.0,0.0,Reached wrong destination
115,0120_01,Mars,True,F/25/P,TRAPPIST-1e,24.0,Blue Horizon,Bees Sacre,False,0.0,0.0,Reached wrong destination
116,0122_01,Earth,False,G/21/S,TRAPPIST-1e,29.0,Tulsa Inc,Shelle Hayder,False,0.0,0.0,Failed to reach
117,0123_01,Earth,False,F/27/P,TRAPPIST-1e,18.0,Blue Horizon,Iree Fielson,False,55.0,597.0,Succesfully reached Destination
118,0126_01,Mars,True,F/27/S,TRAPPIST-1e,67.0,Tulsa Inc,Milly Mish,False,0.0,0.0,Reached wrong destination
119,0127_01,Mars,False,E/7/S,TRAPPIST-1e,35.0,Tulsa Inc,Miloss Mesty,False,701.0,0.0,Reached wrong destination
120,0128_01,Mars,False,D/3/S,TRAPPIST-1e,61.0,Tulsa Inc,Grohs Fles,True,2353.0,334.0,Reached wrong destination
121,0128_02,Mars,False,E/8/S,TRAPPIST-1e,45.0,Tulsa Inc,Barave Fles,False,2103.0,6.0,Succesfully reached Destination
122,0129_01,Earth,True,G/22/S,PSO J318.5-22,22.0,Blue Horizon,Race Fowles,False,0.0,0.0,Failed to reach
123,0133_01,Mars,True,F/29/S,TRAPPIST-1e,19.0,Tulsa Inc,Flynx Blie,False,0.0,0.0,Failed to reach
124,0133_02,Mars,False,D/5/S,TRAPPIST-1e,36.0,Blue Horizon,Egrasp Blie,False,2738.0,0.0,Reached wrong destination
125,0134_01,Earth,False,G/17/P,TRAPPIST-1e,19.0,Blue Horizon,Camina Harmontry,False,0.0,14.0,Reached wrong destination
126,0136_01,Earth,False,G/23/S,PSO J318.5-22,47.0,Blue Horizon,,False,97.0,418.0,Reached wrong destination
127,0138_01,Earth,True,G/18/P,TRAPPIST-1e,13.0,Blue Horizon,Fayene Gambs,False,0.0,0.0,Reached wrong destination
128,0138_02,Earth,False,E/5/P,,34.0,Blue Horizon,Monah Gambs,False,0.0,22.0,Succesfully reached Destination
129,0139_01,Europa,True,C/6/S,55 Cancri e,35.0,Blue Horizon,Charda Myling,False,0.0,0.0,Succesfully reached Destination
130,0140_01,Earth,True,G/19/P,TRAPPIST-1e,24.0,Tulsa Inc,Evaley Mejiaddox,False,0.0,0.0,Failed to reach
131,0140_02,Earth,False,F/29/P,TRAPPIST-1e,26.0,Blue Horizon,Verney Whitakers,False,440.0,0.0,Failed to reach
132,0141_01,Mars,False,F/30/P,TRAPPIST-1e,31.0,Blue Horizon,Pyrohs Harte,False,,0.0,Succesfully reached Destination
133,0144_01,Earth,False,F/31/S,TRAPPIST-1e,20.0,Tulsa Inc,Guadae Dayers,False,0.0,420.0,Reached wrong destination
134,0146_01,Earth,False,G/25/S,TRAPPIST-1e,56.0,Tulsa Inc,Verly Wolferguson,False,0.0,0.0,Reached wrong destination
135,0147_01,Earth,True,G/26/S,TRAPPIST-1e,50.0,Blue Horizon,Samie Hubbarrison,False,0.0,0.0,Failed to reach
136,0148_01,Mars,False,F/31/P,TRAPPIST-1e,42.0,Blue Horizon,Corsh Pashe,False,1072.0,0.0,Succesfully reached Destination
137,0149_01,Earth,True,G/27/S,55 Cancri e,,Tulsa Inc,Billya Hubbarrison,False,0.0,0.0,Failed to reach
138,0151_01,Earth,True,G/20/P,55 Cancri e,38.0,Tulsa Inc,Shanie Simson,False,0.0,0.0,Succesfully reached Destination
139,0152_01,Earth,False,F/32/P,,41.0,Tulsa Inc,Andan Estron,False,0.0,0.0,Reached wrong destination
140,0160_01,Earth,False,G/22/P,TRAPPIST-1e,22.0,Blue Horizon,Gory Atkinney,False,4119.0,0.0,Succesfully reached Destination
141,0163_01,Europa,True,B/8/P,TRAPPIST-1e,26.0,Blue Horizon,Kabiton Hetforhaft,False,0.0,0.0,Reached wrong destination
142,0163_02,Europa,True,B/8/P,TRAPPIST-1e,17.0,Blue Horizon,Scharab Hetforhaft,False,0.0,0.0,Reached wrong destination
143,0164_01,Earth,False,G/28/S,TRAPPIST-1e,57.0,Tulsa Inc,Fany Hutchinton,False,50.0,1688.0,Succesfully reached Destination
144,0164_02,Earth,True,G/28/S,PSO J318.5-22,17.0,Blue Horizon,Ianya Hutchinton,False,0.0,0.0,Reached wrong destination
145,0165_01,Mars,True,F/37/P,TRAPPIST-1e,35.0,Blue Horizon,Graven Anche,,0.0,0.0,Failed to reach
146,0167_01,Mars,True,F/35/S,TRAPPIST-1e,13.0,Blue Horizon,Miten Floaf,False,0.0,0.0,Succesfully reached Destination
147,0167_02,Mars,False,F/35/S,TRAPPIST-1e,27.0,Tulsa Inc,Rios Floaf,False,1365.0,0.0,Failed to reach
148,0169_01,Earth,True,G/23/P,TRAPPIST-1e,31.0,Blue Horizon,Wandy Fisherry,False,0.0,0.0,Reached wrong destination
149,0170_01,Earth,False,E/10/S,TRAPPIST-1e,24.0,Blue Horizon,Mollie Mcmahoney,False,0.0,0.0,Succesfully reached Destination
150,0171_01,Earth,True,G/30/S,PSO J318.5-22,19.0,Tulsa Inc,Coracy Gordanieves,False,0.0,0.0,Reached wrong destination
151,0172_01,Earth,True,G/24/P,TRAPPIST-1e,32.0,Blue Horizon,Hanna Johnshines,False,0.0,0.0,Reached wrong destination
152,0173_01,Earth,,E/11/S,TRAPPIST-1e,58.0,Blue Horizon,Hilip Grifford,False,0.0,985.0,Reached wrong destination
153,0174_01,Earth,False,F/38/P,55 Cancri e,21.0,Tulsa Inc,Doryn Lambles,False,287.0,0.0,Reached wrong destination
154,0177_01,Europa,False,B/2/S,TRAPPIST-1e,38.0,Blue Horizon,Toperon Iniouser,False,0.0,10346.0,Reached wrong destination
155,0178_01,Mars,False,D/6/S,TRAPPIST-1e,38.0,Tulsa Inc,Wees Knik,False,3414.0,0.0,Succesfully reached Destination
156,0179_01,Earth,False,G/26/P,TRAPPIST-1e,19.0,Blue Horizon,Elaney Webstephrey,False,1.0,219.0,Succesfully reached Destination
157,0179_02,Earth,False,G/26/P,TRAPPIST-1e,0.0,Blue Horizon,Raque Webstephrey,False,0.0,0.0,Reached wrong destination
158,0179_03,Earth,False,G/26/P,TRAPPIST-1e,3.0,Tulsa Inc,Sallyl Webstephrey,False,0.0,0.0,Reached wrong destination
159,0181_01,Earth,False,G/27/P,TRAPPIST-1e,20.0,Blue Horizon,Nancis Brighttt,False,0.0,0.0,Succesfully reached Destination
160,0182_01,Europa,True,C/3/P,TRAPPIST-1e,24.0,Blue Horizon,Ksorab Disight,False,0.0,0.0,Failed to reach
161,0183_01,Earth,False,F/36/S,TRAPPIST-1e,37.0,Tulsa Inc,Stany Weaves,False,17.0,146.0,Succesfully reached Destination
162,0186_01,Earth,False,G/28/P,TRAPPIST-1e,25.0,Blue Horizon,Camiet Shephendry,False,62.0,0.0,Succesfully reached Destination
163,0188_01,Earth,True,G/31/S,TRAPPIST-1e,56.0,Blue Horizon,Branda Romez,False,0.0,0.0,Reached wrong destination
164,0189_01,Earth,False,E/8/P,55 Cancri e,49.0,Tulsa Inc,Helly Booters,False,84.0,3.0,Reached wrong destination
165,0190_01,Earth,True,G/32/S,55 Cancri e,11.0,Blue Horizon,,False,0.0,0.0,Reached wrong destination
166,0192_01,Earth,True,G/29/P,TRAPPIST-1e,1.0,Tulsa Inc,Tance Adavisons,False,0.0,0.0,Succesfully reached Destination
167,0192_02,Earth,False,G/29/P,TRAPPIST-1e,8.0,Blue Horizon,Robyny Adavisons,False,0.0,0.0,Reached wrong destination
168,0192_03,Earth,False,G/29/P,TRAPPIST-1e,39.0,Tulsa Inc,Lilace Adavisons,False,0.0,0.0,Failed to reach
169,0193_01,Mars,True,F/41/P,TRAPPIST-1e,2.0,Blue Horizon,Sps Raf,False,0.0,0.0,Succesfully reached Destination
170,0193_02,Mars,False,F/41/P,TRAPPIST-1e,23.0,Tulsa Inc,Frook Raf,False,,0.0,Reached wrong destination
171,0193_03,Mars,False,F/41/P,TRAPPIST-1e,0.0,Blue Horizon,Goles Raf,False,0.0,0.0,Succesfully reached Destination
172,0195_01,Mars,False,F/42/P,TRAPPIST-1e,39.0,Blue Horizon,Bar Floaf,False,406.0,0.0,Failed to reach
173,0196_01,Mars,False,D/5/P,PSO J318.5-22,25.0,Blue Horizon,Caper Emead,False,1052.0,0.0,Failed to reach
174,0197_01,Europa,False,C/5/P,TRAPPIST-1e,36.0,Blue Horizon,Astrak Dissper,False,0.0,972.0,Succesfully reached Destination
175,0198_01,Earth,,G/30/P,PSO J318.5-22,52.0,Tulsa Inc,Jeroy Cookson,False,0.0,0.0,Succesfully reached Destination
176,0199_01,Earth,True,G/33/S,TRAPPIST-1e,18.0,Blue Horizon,Regana Morrows,False,0.0,0.0,Reached wrong destination
177,0200_01,Earth,True,G/31/P,TRAPPIST-1e,15.0,Blue Horizon,Elia Colomonson,False,0.0,0.0,Failed to reach
178,0201_01,Europa,True,B/3/S,TRAPPIST-1e,35.0,Tulsa Inc,Kaffias Bacistion,False,0.0,0.0,Succesfully reached Destination
179,0201_02,Europa,True,B/3/S,TRAPPIST-1e,47.0,Tulsa Inc,Edaruma Bacistion,False,0.0,0.0,Reached wrong destination
180,0202_01,Europa,True,B/9/P,55 Cancri e,45.0,Blue Horizon,Pomera Embleng,False,0.0,0.0,Failed to reach
181,0202_02,Europa,False,A/2/P,55 Cancri e,,Blue Horizon,Vegas Embleng,False,0.0,2433.0,Succesfully reached Destination
182,0203_01,Europa,True,C/8/S,TRAPPIST-1e,51.0,Tulsa Inc,Ancham Heateele,False,0.0,0.0,Succesfully reached Destination
183,0205_01,Earth,False,G/34/S,TRAPPIST-1e,29.0,Tulsa Inc,Carma Oneiles,False,0.0,2.0,Failed to reach
184,0206_01,Europa,False,C/9/S,55 Cancri e,,Tulsa Inc,Nuson Brugashed,False,2.0,1720.0,Succesfully reached Destination
185,0207_01,Earth,True,G/32/P,PSO J318.5-22,19.0,Blue Horizon,Thony Mcfaddennon,False,0.0,0.0,Succesfully reached Destination
186,0210_01,,True,D/6/P,55 Cancri e,24.0,Tulsa Inc,Arraid Inicont,False,0.0,0.0,Failed to reach
187,0211_01,Mars,False,F/44/P,TRAPPIST-1e,29.0,Blue Horizon,Pebuts Appie,False,902.0,1.0,Succesfully reached Destination
188,0211_02,Mars,True,F/44/P,TRAPPIST-1e,11.0,Tulsa Inc,Corsh Appie,False,0.0,0.0,Succesfully reached Destination
189,0211_03,Mars,False,F/44/P,TRAPPIST-1e,17.0,Blue Horizon,Picers Date,False,848.0,0.0,Failed to reach
190,0212_01,Earth,False,E/9/P,TRAPPIST-1e,13.0,Blue Horizon,Inen Workmans,False,192.0,0.0,Failed to reach
191,0212_02,Earth,False,F/45/P,TRAPPIST-1e,35.0,Blue Horizon,Shally Workmans,False,147.0,188.0,Reached wrong destination
192,0213_01,Earth,False,F/46/P,TRAPPIST-1e,21.0,Blue Horizon,Carita Navages,False,367.0,281.0,Reached wrong destination
193,0216_01,Earth,False,F/40/S,55 Cancri e,21.0,Blue Horizon,Searla Garnes,False,0.0,56.0,Failed to reach
194,0217_01,Earth,False,F/47/P,TRAPPIST-1e,38.0,Blue Horizon,Prilly Shieldson,False,1517.0,0.0,Succesfully reached Destination
195,0219_01,Earth,True,G/36/P,TRAPPIST-1e,19.0,Blue Horizon,Nica River,False,0.0,0.0,Failed to reach
196,0220_01,Earth,True,G/37/P,TRAPPIST-1e,2.0,Blue Horizon,Tyle Wilsoney,False,0.0,0.0,Reached wrong destination
197,0220_02,Earth,False,G/37/P,TRAPPIST-1e,0.0,Tulsa Inc,Wena Wilsoney,False,0.0,0.0,Succesfully reached Destination
198,0220_03,Earth,True,G/37/P,TRAPPIST-1e,13.0,Blue Horizon,Branca Wilsoney,False,0.0,0.0,Succesfully reached Destination
